NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"502966J5";3;3;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"511571P0";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5073878AA";25;24;0;1;5;1;0;20;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"511056R0";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"511777NL";21;21;0;0;4;4;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"511778NL";4;4;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5141351401";64;59;0;5;9;8;0;88,89;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5141350002";83;80;0;3;14;11;0;78,57;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"515999";30;30;0;0;4;2;2;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"521214";26;25;0;1;2;1;0;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5176076";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5176079";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"52108325AA";270;256;0;14;46;6;0;13,04;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"52108332AA";80;75;0;5;16;2;0;12,50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"52854834AB";50;47;0;3;12;11;7;91,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5275555";481;410;7;64;69;13;0;18,84;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"54509";31;31;0;0;5;1;0;20;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
