GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;SACHS;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BorgWarner;BLUE PRINT;EXEDY;RYMEC;Schaeffler LuK
479;Kupplungssatz;2290601176;9;0,0049;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601178;1;0,0005;0;1;0;1;1;0;0;0;0;0
479;Kupplungssatz;2290601180;3;0,0016;0;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;2290601181;36;0,0197;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601182;65;0,0355;0;1;0;0;0;0;0;0;1;0
479;Kupplungssatz;2290601185;12;0,0066;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601186;8;0,0044;0;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;2290601188;3;0,0016;1;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;2290601189;37;0,0202;1;1;0;0;1;0;0;0;1;0
479;Kupplungssatz;2290601190;2;0,0011;1;1;0;1;1;0;0;0;0;1
479;Kupplungssatz;2290601191;3;0,0016;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601192;20;0,0109;0;1;0;1;0;0;0;0;0;1
479;Kupplungssatz;2290601194;9;0,0049;0;1;0;1;0;0;0;0;0;0
479;Kupplungssatz;2290601195;1;0,0005;0;1;0;0;1;0;0;0;0;0
479;Kupplungssatz;2290601196;8;0,0044;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601197;6;0,0033;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601199;9;0,0049;1;1;0;0;1;0;0;0;0;0
479;Kupplungssatz;2290601203;21;0,0115;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601205;4;0,0022;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601206;8;0,0044;0;1;0;0;0;0;0;1;0;0
479;Kupplungssatz;2290601207;18;0,0098;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;2290601208;3;0,0016;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601209;4;0,0022;0;1;0;0;1;0;0;0;0;0
479;Kupplungssatz;2290601214;2;0,0011;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601217;34;0,0186;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601218;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601219;24;0,0131;0;1;0;0;0;0;0;0;1;0
479;Kupplungssatz;2290601223;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601228;1;0,0005;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2290601230;1;0,0005;0;1;0;0;1;0;0;0;0;0
479;Kupplungssatz;2290601232;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601235;5;0,0027;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601238;16;0,0087;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601239;2;0,0011;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601243;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290601262;3;0,0016;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2290602002;16;0,0087;1;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;2290602004;418;0,2285;1;1;0;1;1;0;1;1;1;1
479;Kupplungssatz;2290602004FS;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294000296;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294000838;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294001091;1;0,0005;0;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;2294001155;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294001362;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294001750;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294001995;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294002113;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294002157;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294002240;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294501172;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294701046;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294701048;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2294701069;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2300723;5;0,0027;1;1;1;0;1;0;1;0;1;1
479;Kupplungssatz;2300A003;19;0,0104;1;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;2300A005;12;0,0066;1;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;2300A034;1;0,0005;1;1;0;1;0;0;1;1;1;1
479;Kupplungssatz;2300A036;4;0,0022;1;1;0;1;1;0;1;1;0;1
479;Kupplungssatz;2300A050;1;0,0005;1;1;0;1;1;0;1;0;0;1
479;Kupplungssatz;2300A054;4;0,0022;1;1;0;1;1;0;1;0;0;1
479;Kupplungssatz;2300A055;15;0,0082;1;1;0;1;1;0;1;1;0;1
479;Kupplungssatz;2300A060;3;0,0016;0;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;2300A074;21;0,0115;0;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;2300A078;1;0,0005;0;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;2301A021;8;0,0044;1;0;0;1;0;0;1;0;1;1
479;Kupplungssatz;2301A045;5;0,0027;1;1;0;0;0;0;1;0;1;0
479;Kupplungssatz;2301A051;2;0,0011;1;1;0;1;0;0;0;0;1;1
479;Kupplungssatz;2301A054;1;0,0005;0;0;0;1;0;0;0;0;1;1
479;Kupplungssatz;2301A082;6;0,0033;1;0;0;1;0;0;0;0;0;1
479;Kupplungssatz;2301A084;9;0,0049;1;0;0;1;0;0;1;0;1;1
479;Kupplungssatz;2301A088;15;0,0082;0;1;0;1;0;0;0;0;1;1
479;Kupplungssatz;2301A091;33;0,018;1;1;0;1;0;0;0;0;1;1
479;Kupplungssatz;2301A096;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;230367;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2304994;117;0,064;0;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;2304A022;1;0,0005;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2304A025;7;0,0038;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2304A029;4;0,0022;0;0;0;1;0;0;0;0;1;1
479;Kupplungssatz;2304A036;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2304A038;26;0,0142;0;1;0;1;0;0;0;0;1;1
479;Kupplungssatz;2304A041;38;0,0208;1;1;0;1;0;0;0;0;1;1
479;Kupplungssatz;2305032;88;0,0481;0;1;0;0;0;0;1;0;1;1
479;Kupplungssatz;2305083;3;0,0016;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;230745;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;230752;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2317A007;3;0,0016;1;1;0;1;0;0;0;0;1;1
479;Kupplungssatz;2320008000;2;0,0011;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2320027400;3;0,0016;0;0;0;1;0;0;0;0;0;1
479;Kupplungssatz;2320027401;2;0,0011;0;0;0;1;0;0;0;0;0;1
479;Kupplungssatz;2320027801;1;0,0005;0;0;0;1;0;0;0;0;0;1
479;Kupplungssatz;232002A403;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;232002A405;2;0,0011;1;0;0;0;0;0;0;0;0;0
