NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"0153500130";8;8;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0157473";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019176857";4;4;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0191087298364";15;14;1;0;4;4;4;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0191103298113";8;4;4;0;2;2;2;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0191068298083";3;3;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019107823";3;3;0;0;3;1;1;33,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019171762";14;12;2;0;4;4;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019171772";8;7;1;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019171783";13;13;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"019176877";4;4;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01L325429B";370;313;2;55;78;22;0;28,21;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051C";41217;40330;79;808;15710;2237;191;14,24;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01L321371";256;225;2;29;39;6;0;15,38;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01V321376";666;568;29;69;4;3;3;75;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01V321377";296;242;41;13;7;7;7;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01V321379";519;453;18;48;7;6;6;85,71;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"01V325429";2243;2190;1;52;529;75;24;14,18;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051B";1170;1126;7;37;266;35;4;13,16;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051BS1";30;27;0;3;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E305051D";345;327;6;12;60;8;0;13,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E398051";7083;6945;13;125;2790;446;46;15,99;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171772";16;12;4;0;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"02E398051S1";8;7;0;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171754";3;3;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171762";29;24;5;0;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0435171783";9;9;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501220214";98;87;3;8;15;14;14;93,33;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0825065";69;68;0;1;16;15;0;93,75;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501219037";244;212;16;16;15;13;13;86,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501220297";469;455;3;11;46;40;40;86,96;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0451000208";4;4;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501216243";594;562;4;28;47;28;27;59,57;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501220614";315;280;2;33;50;50;50;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501226590";139;126;2;11;21;21;21;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0501226591";17;17;0;0;3;3;3;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0825064";24;21;0;3;4;3;0;75;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0551500597";6;4;2;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"06382603";1;1;0;0;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0703304";41;34;0;7;3;1;0;33,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0825066";25;19;0;6;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0826399901HE";138;123;2;13;14;2;0;14,29;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429AS2";3;1;1;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09D325435";2911;2790;11;110;571;83;18;14,54;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09D321181B";554;492;18;44;43;7;7;16,28;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09E325429";949;893;6;50;133;56;43;42,11;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429";1335;1289;0;46;344;48;0;13,95;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429A";1292;1265;1;26;311;53;16;17,04;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429B";130;97;2;31;12;6;6;50;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429D";219;188;1;30;20;2;0;10;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429E";123;85;0;38;8;2;0;25;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09G325429H";88;69;9;10;13;3;0;23,08;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AW301516HS1";9;6;0;3;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09L321371A";1537;1478;2;57;258;32;26;12,40;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09K321370";268;247;2;19;49;12;8;24,49;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09K325429";933;892;6;35;229;74;38;32,31;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09L325429";5872;5661;24;187;1240;331;203;26,69;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09M325429";1737;1697;6;34;234;40;1;17,09;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09P321370";342;297;3;42;8;2;0;25;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09P325429";214;191;1;22;10;2;0;20;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"09Q325429";849;619;77;153;68;27;0;39,71;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM321490B";616;118;30;468;2;1;0;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM325025";218;140;19;59;4;4;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM325433D";305;232;0;73;33;4;0;12,12;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM325433EKIT";71;49;1;21;3;2;0;66,67;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AM325433EKIT1";19;14;2;3;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AT325429";103;75;0;28;8;3;0;37,50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AW301516C";179;160;1;18;22;3;1;13,64;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AW301516E";122;105;0;17;18;3;0;16,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AW301516G";95;84;5;6;16;4;0;25;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0AW301516H";7953;7693;16;244;1719;259;12;15,07;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5325429E";11974;11684;29;261;3085;809;0;26,22;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5321371D";52;48;1;3;6;1;0;16,67;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B5325330A";13154;12872;45;237;4557;532;60;11,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183BS1";12;12;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0B6325429";707;671;1;35;133;48;30;36,09;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183AKIT";7;7;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183B";7091;6937;8;146;2578;392;28;15,21;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183BKIT1";5;5;0;0;2;1;0;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183C";51;35;5;11;5;1;1;20;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BH325183D";46;39;4;3;8;1;1;12,50;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK321439A";5087;4229;300;558;255;220;0;86,27;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BK398009";2739;2601;30;108;606;285;231;47,03;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BK398009A";2767;2692;12;63;825;390;310;47,27;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BL398009";669;629;16;24;75;72;68;96;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BW398009";99;79;2;18;7;4;1;57,14;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BW398009A";12;10;0;2;1;1;0;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0BW398009B";29;26;1;2;5;1;0;20;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0C8321181";373;325;9;39;39;7;7;17,95;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0C8321371";810;796;1;13;97;15;7;15,46;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0C8325435";3713;3606;13;94;793;177;65;22,32;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK321371A";1706;1593;3;110;139;35;0;25,18;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009C";3263;3145;8;110;616;527;456;85,55;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK325121D";10180;9608;47;525;928;255;0;27,48;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK325149D";6761;6420;45;296;692;104;0;15,03;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK325421A";4355;4202;6;147;291;35;0;12,03;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CK325421AKIT2";15;11;1;3;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CM301227";173;88;5;80;9;7;0;77,78;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0CM301519";1656;1530;19;107;355;205;148;57,75;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009";299;266;3;30;23;12;2;52,17;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009A";2471;2047;24;400;116;77;64;66,38;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D5398009B";1633;1323;25;285;109;68;54;62,39;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D6398359";1258;945;63;250;51;34;34;66,67;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350001SK";84;84;0;0;17;11;0;64,71;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0D6398359A";248;142;9;97;7;7;7;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0DR301519";35;33;0;2;5;3;3;60;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183";10296;9962;54;280;3068;433;4;14,11;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183A";27977;27349;49;579;10741;1371;13;12,76;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183KIT2";10;9;0;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0GC325183KIT3";4;2;0;2;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350001";288;280;2;6;31;26;6;83,87;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350001MYL";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350002";83;82;0;1;14;14;3;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"10000129";14;12;0;2;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"10000477";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350002SK";29;28;0;1;4;3;1;75;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
