GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;BorgWarner;HERTH+BUSS JAKOPARTS;RYMEC;SACHS
Kupplungssatz;479;55448;1;0,0006;0;2;1;2;2;0;0;2;0;2
Kupplungssatz;479;30143;1;0,0006;4;2;0;1;3;3;0;0;0;1
Kupplungssatz;479;7746;1;0,0006;1;3;1;0;4;0;0;0;3;3
Kupplungssatz;479;18958;4;0,0025;2;3;1;1;3;1;0;0;5;4
Kupplungssatz;479;19552;1;0,0006;0;4;0;0;2;0;0;0;0;1
Kupplungssatz;479;30235;1;0,0006;1;0;0;1;0;0;0;0;0;0
Kupplungssatz;479;140517;1;0,0006;0;1;1;1;3;0;0;0;0;3
Kupplungssatz;479;5240;1;0,0006;1;0;1;1;1;0;0;0;1;2
Kupplungssatz;479;32956;3;0,0019;0;2;0;2;3;0;0;0;0;2
Kupplungssatz;479;24597;2;0,0012;2;3;0;3;3;0;0;2;2;4
Kupplungssatz;479;520;80;0,05;13;12;10;11;19;2;0;3;21;8
Kupplungssatz;479;18609;33;0,0206;0;1;0;1;1;0;0;0;0;1
Kupplungssatz;479;105906;77;0,0481;2;3;2;3;4;0;0;2;3;4
Kupplungssatz;479;131564;15;0,0094;0;1;0;0;3;0;0;0;0;2
Kupplungssatz;479;53389;25;0,0156;0;6;2;2;4;0;0;2;2;2
Kupplungssatz;479;107479;7;0,0044;2;1;0;2;2;1;0;0;1;2
Kupplungssatz;479;55645;3;0,0019;1;3;1;1;4;1;0;1;0;3
Kupplungssatz;479;18695;2;0,0012;2;1;1;1;3;2;0;1;1;1
Kupplungssatz;479;107947;1;0,0006;0;1;0;1;3;1;0;1;0;1
Kupplungssatz;479;56790;11;0,0069;5;4;4;5;13;1;0;2;6;5
Kupplungssatz;479;33041;6;0,0037;2;2;2;2;5;2;0;2;2;5
Kupplungssatz;479;19679;1;0,0006;2;2;1;0;2;0;0;0;0;2
Kupplungssatz;479;31377;9;0,0056;2;3;1;2;5;0;0;1;1;2
Kupplungssatz;479;18830;18;0,0112;2;2;1;2;2;2;0;1;1;1
Kupplungssatz;479;57594;44;0,0275;4;3;7;3;11;0;0;3;3;6
Kupplungssatz;479;8582;1;0,0006;1;1;2;1;2;1;0;0;1;1
Kupplungssatz;479;20543;1;0,0006;1;1;1;1;4;0;0;1;0;0
Kupplungssatz;479;2476;2;0,0012;0;1;1;1;2;0;0;0;1;1
Kupplungssatz;479;100046;7;0,0044;3;4;3;4;8;0;0;3;5;6
Kupplungssatz;479;1851;1;0,0006;0;1;0;1;1;0;0;0;1;2
Kupplungssatz;479;17472;1;0,0006;0;2;0;3;3;0;0;0;0;1
Kupplungssatz;479;126685;9;0,0056;1;1;1;1;3;1;0;1;1;1
Kupplungssatz;479;15632;3;0,0019;1;4;4;2;6;1;0;1;3;3
Kupplungssatz;479;125719;1;0,0006;0;1;0;1;2;0;0;0;4;2
Kupplungssatz;479;16667;2;0,0012;1;1;0;1;6;1;0;0;1;2
Kupplungssatz;479;7832;1;0,0006;1;5;0;0;6;0;0;0;2;3
Kupplungssatz;479;16956;1;0,0006;2;3;1;0;5;0;0;0;4;2
Kupplungssatz;479;28237;19;0,0119;2;2;4;2;3;1;0;2;2;2
Kupplungssatz;479;34941;1;0,0006;0;0;2;0;0;0;0;0;0;0
Kupplungssatz;479;23076;18;0,0112;2;3;3;3;3;1;0;3;3;4
Kupplungssatz;479;55119;14;0,0087;1;2;1;1;2;3;0;1;2;3
Kupplungssatz;479;18927;3;0,0019;0;4;0;0;2;0;0;0;0;1
Kupplungssatz;479;19441;20;0,0125;0;5;1;2;4;0;0;0;5;3
Kupplungssatz;479;19415;2;0,0012;1;8;2;3;5;0;0;1;2;5
Kupplungssatz;479;19727;8;0,005;2;3;5;1;6;1;0;1;4;3
Kupplungssatz;479;17864;2;0,0012;1;8;2;0;9;0;0;0;2;3
Kupplungssatz;479;59384;3;0,0019;3;2;1;2;3;0;0;0;2;1
Kupplungssatz;479;16030;1;0,0006;1;1;0;1;2;1;0;1;1;1
Kupplungssatz;479;14828;7;0,0044;6;6;3;6;8;0;0;0;7;6
Kupplungssatz;479;7769;1;0,0006;1;1;1;1;2;0;0;0;1;1
Kupplungssatz;479;18940;7;0,0044;0;1;0;1;1;0;0;0;0;1
Kupplungssatz;479;18497;1;0,0006;0;2;2;1;5;1;0;0;2;4
Kupplungssatz;479;31541;2;0,0012;0;2;1;3;4;0;0;0;2;3
Kupplungssatz;479;106252;4;0,0025;1;5;1;3;3;0;0;2;2;8
Kupplungssatz;479;14324;1;0,0006;1;1;1;1;3;1;0;1;1;0
Kupplungssatz;479;25511;6;0,0037;0;1;1;0;1;2;0;1;1;0
Kupplungssatz;479;57170;1;0,0006;1;3;1;3;9;2;0;1;1;1
Kupplungssatz;479;111764;7;0,0044;3;3;2;3;5;0;0;2;5;3
Kupplungssatz;479;57360;6;0,0037;4;3;3;3;4;0;0;1;3;3
Kupplungssatz;479;31957;2;0,0012;1;2;0;2;2;0;0;0;0;3
Kupplungssatz;479;136729;3;0,0019;1;4;1;2;3;0;0;1;2;3
Kupplungssatz;479;119473;35;0,0219;0;3;0;3;11;0;0;0;0;5
Kupplungssatz;479;139309;1;0,0006;0;0;0;0;0;0;0;0;0;1
Kupplungssatz;479;11522;4;0,0025;0;0;0;0;1;0;0;0;0;1
Kupplungssatz;479;23501;1;0,0006;3;2;2;2;3;1;0;2;2;4
Kupplungssatz;479;132529;1;0,0006;0;2;0;2;3;0;0;0;0;5
Kupplungssatz;479;152590;2;0,0012;0;0;0;0;0;0;0;0;0;0
Kupplungssatz;479;33263;4;0,0025;0;0;1;0;2;0;0;1;0;3
Kupplungssatz;479;130824;1;0,0006;2;5;5;4;6;0;0;2;3;3
Kupplungssatz;479;145712;2;0,0012;1;2;0;2;4;0;0;0;0;2
Kupplungssatz;479;3498;1;0,0006;3;1;2;2;4;5;0;1;1;0
Kupplungssatz;479;8939;1;0,0006;0;2;2;1;2;0;0;0;2;2
Kupplungssatz;479;5556;1;0,0006;1;1;2;0;2;0;0;0;2;1
Kupplungssatz;479;15821;1;0,0006;0;3;0;3;4;0;0;0;3;2
Kupplungssatz;479;16117;1;0,0006;1;1;1;1;2;1;0;0;1;1
Kupplungssatz;479;16632;2;0,0012;0;2;0;2;1;0;0;0;0;2
Kupplungssatz;479;34424;1;0,0006;2;3;1;1;1;0;0;0;1;0
Kupplungssatz;479;34150;1;0,0006;0;2;1;0;3;1;0;0;2;2
Kupplungssatz;479;138504;1;0,0006;0;3;0;1;0;0;0;0;0;0
Kupplungssatz;479;16122;1;0,0006;1;1;1;1;2;1;0;0;1;1
Kupplungssatz;479;29575;1;0,0006;0;1;0;0;0;0;0;0;0;0
Kupplungssatz;479;27555;4;0,0025;1;1;1;1;4;0;0;0;1;2
Kupplungssatz;479;10864;46;0,0287;2;2;1;1;1;0;0;0;1;1
Kupplungssatz;479;16374;134;0,0837;2;2;1;1;1;2;0;1;1;1
Kupplungssatz;479;126415;13;0,0081;0;1;1;0;5;2;0;1;0;1
Kupplungssatz;479;9012;24;0,015;1;1;1;1;2;1;0;0;1;1
Kupplungssatz;479;19349;90;0,0562;1;3;1;1;2;1;0;1;2;1
Kupplungssatz;479;18337;13;0,0081;5;6;7;4;9;2;0;1;9;6
Kupplungssatz;479;11406;11;0,0069;1;1;1;1;2;0;0;0;1;1
Kupplungssatz;479;31139;9;0,0056;4;2;1;2;3;5;0;1;2;3
Kupplungssatz;479;23150;5;0,0031;0;3;1;3;4;0;0;0;2;2
