NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"0110004719";2;2;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0110004751";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0110004808";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0110005380";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0112508103";3;2;0;1;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"011407";55;25;1;29;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0116020";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"012141165E";300;294;1;5;35;4;0;11,43;1;0;1;0;479;"Kupplungssatz"
"012141741";975;962;1;12;186;6;1;3,23;0;0;0;0;479;"Kupplungssatz"
"0132504703";12;10;0;2;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0132504803";16;13;0;3;2;2;1;100;1;0;1;0;479;"Kupplungssatz"
"0132505303";12;12;0;0;4;3;1;75;1;0;1;0;479;"Kupplungssatz"
"0140001091";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"01400923";4;4;0;0;4;4;0;100;0;0;0;0;479;"Kupplungssatz"
"014215509";1;1;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0143000951554";2;2;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0143000970072";3;3;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"014600001600";4;4;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014600032100";11;10;1;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"014600032600";5;5;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014600033000";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014622036410";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014622114560";7;7;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"014623353400";6;6;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014624212800";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014624377800";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014626315209";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014628333300";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"014837321";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"015215400";1;1;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0152503301";9;8;0;1;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0152503701";12;11;0;1;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0152505801";3;3;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"015691";7;5;2;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0157177";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"015723";6;6;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"01606592";5;4;0;1;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"016200109";14;14;0;0;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"0164377";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0164429";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0164430";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0164460";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0165191";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0170003088";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0170004120";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0170004176";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0170004747";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0170004898";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0170004915";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0170008411";5;5;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"017289";12;12;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"017723";9;9;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"017771";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"018094";7;7;0;0;3;2;0;66,67;0;0;0;0;479;"Kupplungssatz"
"0182503501";5;5;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0182504001";5;5;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0182507101";13;12;0;1;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0182509401";27;23;1;3;5;5;2;100;0;0;1;0;479;"Kupplungssatz"
"0182509601";8;6;0;2;2;2;0;100;0;0;1;0;479;"Kupplungssatz"
"019118";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"019200009";17;17;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0192500801";20;20;0;0;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0192501401";5;5;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0192502201";24;23;1;0;5;5;0;100;1;0;1;0;479;"Kupplungssatz"
"0192502901";25;25;0;0;3;3;1;100;1;0;1;0;479;"Kupplungssatz"
"0192503001";10;10;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0192503101";22;19;0;3;2;2;1;100;1;0;1;0;479;"Kupplungssatz"
"0192505801";48;46;0;2;9;9;5;100;0;0;1;0;479;"Kupplungssatz"
"0192505901";51;46;0;5;3;3;2;100;0;0;1;0;479;"Kupplungssatz"
"0192506901";16;15;0;1;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0192508701";12;11;0;1;2;2;2;100;0;0;1;0;479;"Kupplungssatz"
"019526";20;20;0;0;9;9;0;100;0;0;0;0;479;"Kupplungssatz"
"020103";20;16;0;4;2;1;0;50;0;0;0;0;479;"Kupplungssatz"
"020141165G";1046;1017;1;28;289;2;0;0,69;0;0;1;0;479;"Kupplungssatz"
"0202501201";65;61;1;3;5;5;1;100;1;0;1;0;479;"Kupplungssatz"
"0202502901";81;77;1;3;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0202504401";10;10;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0202504901";3;3;0;0;2;2;1;100;0;0;1;0;479;"Kupplungssatz"
"0202507401";46;45;1;0;4;4;0;100;1;0;1;0;479;"Kupplungssatz"
"0202507901";8;8;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0202508901";8;7;0;1;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0202509101";2;2;0;0;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"021105264C";89;39;1;49;5;5;0;100;0;0;0;0;479;"Kupplungssatz"
"021105266J";77;70;1;6;4;1;0;25;0;0;0;0;479;"Kupplungssatz"
"021141025F";84;79;0;5;11;8;0;72,73;1;0;1;0;479;"Kupplungssatz"
"021198141";12;11;0;1;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"021198141AX";49;46;0;3;4;4;3;100;1;0;1;0;479;"Kupplungssatz"
"021198141X";225;220;0;5;49;47;22;95,92;0;0;1;0;479;"Kupplungssatz"
