GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
273;"2026/2";"Croatia";144;"MEYLE";1589
273;"2026/2";"Croatia";192;"FAG";435
273;"2026/2";"ROW";430;"RTS";52
273;"2026/2";"SEE";101;"FEBI BILSTEIN";1382
273;"2026/2";"West Europe";89;"DELPHI";413
273;"2026/2";"Balkan";192;"FAG";121
273;"2026/2";"Nordic";403;"MAXGEAR";2711
273;"2026/2";"N";108;"TRISCAN";439
273;"2026/2";"Austria";373;"GSP";284
273;"2026/2";"Nordic";95;"MAGNETI MARELLI";3
273;"2026/2";"Croatia";35;"LEMFÖRDER";3502
273;"2026/2";"Austria";129;"OPTIMAL";4258
273;"2026/2";"West Europe";403;"MAXGEAR";10908
273;"2026/2";"West Europe";37;"MONROE";156
273;"2026/2";"Austria";4674;"FEBEST";18
273;"2026/2";"Other";35;"LEMFÖRDER";84
273;"2026/2";"Slovenia";161;"TRW";153
273;"2026/2";"Austria";4969;"ESEN SKV";134
273;"2026/2";"Austria";134;"MOOG";602
273;"2026/2";"Germany";301;"TOPRAN";140
273;"2026/2";"West Europe";208;"BIRTH";26
273;"2026/2";"Serbia";144;"MEYLE";124
273;"2026/2";"West Europe";135;"SIDEM";2060
273;"2026/2";"Other";192;"FAG";36
273;"2026/2";"Slovenia";127;"NK";12
273;"2026/2";"Spain";192;"FAG";302
273;"2026/2";"Nordic";95;"MAGNETI MARELLI";12
273;"2026/2";"Nordic";55;"HERTH+BUSS JAKOPARTS";74
273;"2026/2";"Germany";209;"TRUCKTEC AUTOMOTIVE";170
273;"2026/2";"Portugal";55;"HERTH+BUSS JAKOPARTS";75
273;"2026/2";"SEE";373;"GSP";6
273;"2026/2";"Germany";4364;"ACKOJA";167
273;"2026/2";"Slovenia";4564;"MOTAQUIP";717
273;"2026/2";"Nordic";6984;"Oyodo";3
273;"2026/2";"Nordic";430;"RTS";2
273;"2026/2";"Other";403;"MAXGEAR";82
273;"2026/2";"West Europe";4869;"RED-LINE";21
273;"2026/2";"Nordic";89;"DELPHI";42
