GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);HENGST FILTER;FEBI BILSTEIN;MEYLE;SWAG;VAICO;TRUCKTEC AUTOMOTIVE;ORIGINAL Sch?ferbarthold;TCMATIC;AIC;ZF
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501220297;10;0,0341;1;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501220614;20;0,0682;1;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501226590;7;0,0239;1;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0501226591;1;0,0034;1;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;05078555AA;1;0,0034;0;0;0;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551500051;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551500597;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551500598;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551501264;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551501268;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0551501269;2;0,0068;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;071050676;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0825064;10;0,0341;0;1;1;1;1;1;0;0;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0825065;5;0,0171;0;1;1;1;1;1;0;0;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;096321370;8;0,0273;0;1;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;097370;5;0,0171;0;1;0;1;1;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;098321371;1;0,0034;0;0;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;09D321371;1;0,0034;0;0;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09D325435;31;0,1058;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09E321371A;1;0,0034;0;0;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09E325429;8;0,0273;0;0;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G321370;2;0,0068;0;0;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429;20;0,0682;0;1;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429A;11;0,0375;0;1;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429B;1;0,0034;0;0;0;0;0;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429D;1;0,0034;0;0;1;0;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;09G325429S2;1;0,0034;0;1;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;09K321370;6;0,0205;0;1;1;0;1;0;0;1;1;1
