GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;HERTH+BUSS JAKOPARTS;WESTLAKE;RYMEC;SACHS
Kupplungssatz;479;2544;1;0,0006;1;0;1;1;2;1;0;1;1;0
Kupplungssatz;479;53;4;0,0025;4;3;1;2;4;0;0;2;1;2
Kupplungssatz;479;14466;4;0,0025;1;1;1;2;1;0;0;1;1;1
Kupplungssatz;479;4093;1;0,0006;1;2;2;1;2;0;1;1;1;3
Kupplungssatz;479;34286;2;0,0012;2;4;1;1;3;0;1;0;1;4
Kupplungssatz;479;32875;1;0,0006;2;3;2;2;4;0;0;0;2;4
Kupplungssatz;479;109511;1;0,0006;1;2;2;1;2;0;1;0;1;2
Kupplungssatz;479;16070;1;0,0006;6;5;6;5;4;0;1;5;5;5
Kupplungssatz;479;18972;12;0,0074;2;4;2;2;3;2;2;2;2;4
Kupplungssatz;479;129779;3;0,0018;0;0;0;0;0;0;0;0;0;0
Kupplungssatz;479;19579;4;0,0025;3;3;2;2;4;0;0;3;1;3
Kupplungssatz;479;154983;2;0,0012;0;0;0;0;0;0;0;0;0;0
Kupplungssatz;479;18202;3;0,0018;1;1;2;1;5;1;1;2;2;1
Kupplungssatz;479;141856;3;0,0018;0;2;0;2;1;0;1;0;0;2
Kupplungssatz;479;33588;2;0,0012;3;2;3;2;4;3;2;3;2;3
Kupplungssatz;479;131790;1;0,0006;0;0;3;0;3;0;0;0;0;0
Kupplungssatz;479;19653;2;0,0012;3;4;3;3;4;0;0;0;2;7
Kupplungssatz;479;29965;1;0,0006;1;3;3;1;5;0;0;1;2;5
Kupplungssatz;479;32162;2;0,0012;0;2;0;2;3;0;0;0;0;2
Kupplungssatz;479;4178;1;0,0006;1;0;0;1;3;0;0;0;0;0
Kupplungssatz;479;50411;1;0,0006;1;2;0;1;3;0;1;1;0;1
Kupplungssatz;479;8893;1;0,0006;2;2;0;1;2;0;0;1;2;1
Kupplungssatz;479;127084;2;0,0012;0;2;1;1;2;0;2;0;3;2
Kupplungssatz;479;23066;1;0,0006;1;5;2;3;4;1;1;2;4;2
Kupplungssatz;479;15447;3;0,0018;5;6;5;5;8;0;0;6;5;4
Kupplungssatz;479;28839;1;0,0006;3;3;4;3;4;1;2;1;3;2
Kupplungssatz;479;19989;2;0,0012;0;2;1;2;1;0;0;0;2;2
Kupplungssatz;479;137625;1;0,0006;1;2;0;2;7;0;2;0;2;3
Kupplungssatz;479;16594;23;0,0141;1;7;2;0;7;0;0;1;2;2
Kupplungssatz;479;8685;15;0,0092;3;5;4;3;7;1;1;2;6;4
Kupplungssatz;479;26491;14;0,0086;2;3;3;2;3;2;1;2;5;2
Kupplungssatz;479;34927;14;0,0086;2;1;2;1;2;0;0;0;2;2
Kupplungssatz;479;109978;9;0,0055;1;1;0;1;5;1;1;0;1;1
Kupplungssatz;479;31074;160;0,0983;1;1;1;1;1;0;1;1;1;1
Kupplungssatz;479;18023;11;0,0068;1;2;1;1;2;1;0;0;1;0
Kupplungssatz;479;1895;1;0,0006;0;1;1;1;0;0;0;1;0;0
Kupplungssatz;479;55336;18;0,0111;3;2;1;2;3;0;0;0;2;1
Kupplungssatz;479;5293;8;0,0049;1;1;1;1;2;0;0;1;1;1
Kupplungssatz;479;14963;1;0,0006;3;4;0;2;3;0;0;0;4;2
Kupplungssatz;479;5802;24;0,0147;4;4;3;2;4;2;2;3;4;4
