GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);Schaeffler LuK;VALEO;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BLUE PRINT;EXEDY;WESTLAKE;RYMEC;SACHS
479;Kupplungssatz;0127252;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0127935;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;012858;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;013228400;1;0,0005;0;0;0;0;0;1;0;0;0;0
479;Kupplungssatz;013240929;1;0,0005;0;0;0;0;1;0;0;0;0;0
479;Kupplungssatz;0132504803;1;0,0005;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;01400923;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014200600;1;0,0005;0;0;0;0;1;1;0;0;1;0
479;Kupplungssatz;0142505103;2;0,001;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;014600012500;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014600013600;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014600029900;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014622114560;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014622347000;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014623315109;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014623341309;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014624322919;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014624325419;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014625309700;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014832231;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014837075;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014837396;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014837397;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014837438;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;014837606;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0151145;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0151915;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0152423;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0152503301;1;0,0005;1;0;0;0;0;1;0;0;0;1
479;Kupplungssatz;0152503701;1;0,0005;1;0;0;0;0;1;0;0;0;1
479;Kupplungssatz;015303;8;0,0039;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;015304;5;0,0024;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0154284;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;015676;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;015691;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0157174;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0157175;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0158697;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;016200109;3;0,0014;0;1;0;0;1;1;0;0;0;0
479;Kupplungssatz;0164378;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0164398;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0164410;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0164413;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0164416;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0164465;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0164469;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;016608;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;016941;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0170003464;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0170004747;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0170005173;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0172503801;2;0,001;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;0175320;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;017665;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;017723;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;017764;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;018105;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;018114;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0182505101;3;0,0014;1;1;0;0;1;1;0;0;1;1
479;Kupplungssatz;0182507701;1;0,0005;1;1;0;0;1;0;0;0;1;1
479;Kupplungssatz;0182508903;1;0,0005;1;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;0182509401;4;0,0019;1;1;0;0;0;0;1;1;1;1
479;Kupplungssatz;0182509601;2;0,001;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;018427;19;0,0092;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;01904760;1;0,0005;0;0;0;0;0;1;0;0;0;1
479;Kupplungssatz;01908553;1;0,0005;0;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;019097;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;019118;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;019200009;1;0,0005;0;1;0;0;1;1;0;0;1;0
479;Kupplungssatz;0192502201;2;0,001;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0192502901;5;0,0024;1;1;0;0;1;0;0;0;1;1
479;Kupplungssatz;0192503001;2;0,001;1;1;0;0;1;0;0;0;1;1
479;Kupplungssatz;0192503101;1;0,0005;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;0192503901;1;0,0005;1;1;0;0;1;1;1;1;1;1
479;Kupplungssatz;0192505601;2;0,001;1;0;0;0;0;1;0;1;1;1
479;Kupplungssatz;0192505801;7;0,0034;1;1;0;0;1;1;0;0;1;1
479;Kupplungssatz;0192505901;1;0,0005;1;1;0;0;0;1;1;1;1;1
479;Kupplungssatz;0192506201;1;0,0005;1;1;0;0;0;1;0;0;1;1
479;Kupplungssatz;0192506901;3;0,0014;1;1;0;0;0;1;0;1;1;1
479;Kupplungssatz;0192508601;1;0,0005;1;1;0;0;1;0;0;0;1;1
479;Kupplungssatz;019426;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;019432;9;0,0043;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;019526;5;0,0024;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;019576;5;0,0024;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;01988540;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;01E141165D;10;0,0048;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;020088;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;020141165G;4;0,0019;1;1;0;1;0;0;0;0;1;1
479;Kupplungssatz;0202501201;1;0,0005;1;1;0;0;1;1;0;0;1;1
479;Kupplungssatz;0202502901;9;0,0043;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;0202504401;1;0,0005;1;1;0;0;1;1;1;1;1;1
479;Kupplungssatz;0202507401;10;0,0048;1;1;0;0;1;1;1;0;1;1
479;Kupplungssatz;0202507901;2;0,001;1;1;0;0;1;1;1;1;1;1
479;Kupplungssatz;021105264C;2;0,001;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;021141025F;6;0,0029;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;021141031C;1;0,0005;1;1;0;0;1;0;0;1;1;1
479;Kupplungssatz;021141031E;1;0,0005;1;1;0;0;1;0;0;1;1;1
479;Kupplungssatz;021178;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021179;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021180;14;0,0068;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021181;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021182;7;0,0034;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021183;6;0,0029;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021187;9;0,0043;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021188;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021189;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021191;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021193;19;0,0092;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021194;8;0,0039;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021196;13;0,0063;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021197;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021198;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021198141;1;0,0005;1;0;0;0;0;0;0;0;1;0
479;Kupplungssatz;021198141AX;10;0,0048;1;1;0;0;1;0;0;1;1;1
479;Kupplungssatz;021198141X;69;0,0333;1;1;0;0;1;1;0;1;1;1
