GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;LEMF?RDER;METZGER AUTOTEILE;MAGNETI MARELLI;FEBI BILSTEIN;MAXGEAR;DOGA;ELECTRIC LIFE;Ac Rolcar;VAN WEZEL
1561;Fensterheber;013547;1;0,0028;0;0;1;0;1;1;1;1;1;0
1561;Fensterheber;013549;2;0,0056;1;0;1;1;0;0;0;1;1;1
1561;Fensterheber;013558;1;0,0028;1;0;1;1;0;0;0;1;1;1
1561;Fensterheber;013800;3;0,0084;0;0;1;1;0;1;1;1;1;0
1561;Fensterheber;013801;3;0,0084;0;0;1;1;0;1;1;1;1;0
1561;Fensterheber;013808;1;0,0028;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;013821;1;0,0028;0;0;0;0;0;1;0;1;1;0
1561;Fensterheber;013844;2;0,0056;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;013846;5;0,014;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013847;4;0,0112;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013899;1;0,0028;1;0;0;1;0;1;1;0;1;0
1561;Fensterheber;013912;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013918;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013919;5;0,014;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013920;2;0,0056;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013921;2;0,0056;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013922;4;0,0112;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013923;2;0,0056;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013924;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013925;2;0,0056;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013932;1;0,0028;1;0;0;1;1;1;1;1;1;1
1561;Fensterheber;013933;7;0,0195;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013979;1;0,0028;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;013981;2;0,0056;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;013990;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013993;1;0,0028;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013996;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013997;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;0140197;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;014031;1;0,0028;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014037;3;0,0084;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;014162;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014163;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014164;2;0,0056;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014165;3;0,0084;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014179;2;0,0056;0;0;1;0;1;1;0;1;1;1
1561;Fensterheber;014194;3;0,0084;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014195;1;0,0028;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014229;1;0,0028;0;0;1;1;0;0;1;1;1;0
1561;Fensterheber;014233;1;0,0028;1;0;1;1;0;0;1;0;1;0
1561;Fensterheber;014341;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014359;2;0,0056;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014397;1;0,0028;0;0;0;1;0;1;0;1;1;1
1561;Fensterheber;014464;1;0,0028;0;0;0;1;0;1;1;1;1;1
1561;Fensterheber;014478;3;0,0084;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014479;1;0,0028;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014486;1;0,0028;0;0;0;0;0;0;0;1;1;1
1561;Fensterheber;014488;1;0,0028;1;0;1;0;0;1;1;1;1;1
1561;Fensterheber;014489;1;0,0028;1;0;1;0;0;1;1;1;1;1
1561;Fensterheber;014495;2;0,0056;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;014524;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014525;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014546;2;0,0056;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014547;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014575;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014590;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014591;2;0,0056;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014634;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014650;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014653;4;0,0112;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014658;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014659;3;0,0084;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014661;1;0,0028;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014662;1;0,0028;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014663;1;0,0028;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;0147261;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014767;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014823;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014825;1;0,0028;1;0;1;1;1;1;1;1;1;1
